               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.018711,           0.0043279,                   0,             0.97675,             0.95749,              0.9858,             0.79057,            0.016364,           0.0022792,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018198,           0.0043517,                   0,             0.97164,             0.96445,             0.98219,             0.79021,            0.016042,           0.0022476,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.018442,           0.0042757,                   0,             0.96474,             0.95979,             0.98592,             0.79095,            0.015873,           0.0022967,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018073,           0.0043134,                   0,             0.97196,             0.96917,             0.98292,             0.79574,            0.016391,           0.0022697,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.018196,           0.0042985,                   0,             0.97055,             0.96649,             0.98442,             0.79231,            0.016494,           0.0022709,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.018079,           0.0042776,                   0,             0.96994,             0.96649,             0.98556,             0.79923,            0.016297,           0.0022454,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.017777,           0.0042482,                   0,              0.9665,              0.9668,             0.98431,             0.79535,            0.015989,            0.002258,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.017713,           0.0042203,                   0,             0.96906,             0.96557,             0.98364,              0.7966,            0.015742,            0.002209,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.017634,           0.0042239,                   0,             0.97412,             0.95845,             0.98573,              0.7978,            0.015875,           0.0022073,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.017168,           0.0041192,                   0,             0.97153,             0.96045,             0.98411,             0.79388,            0.016056,           0.0022872,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.017074,           0.0041459,                   0,             0.97595,              0.9571,             0.98377,             0.79302,            0.016217,           0.0022586,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.017387,           0.0041665,                   0,             0.96731,             0.96113,             0.98125,             0.79671,            0.016262,           0.0022514,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.016892,           0.0040809,                   0,             0.97142,             0.95677,             0.98063,             0.79532,            0.015729,            0.002271,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.016584,           0.0040341,                   0,             0.97028,             0.96278,             0.98434,             0.79977,            0.015946,           0.0022752,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.016761,           0.0040233,                   0,             0.97034,             0.96469,              0.9847,             0.79695,            0.015983,           0.0022549,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.016689,           0.0040989,                   0,             0.96506,             0.96251,             0.98358,             0.79601,            0.015735,           0.0022716,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.016066,           0.0039102,                   0,             0.97071,             0.96247,             0.98585,             0.80561,            0.015386,           0.0022062,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.016129,           0.0040919,                   0,             0.97375,              0.9571,             0.98383,             0.80053,            0.015929,           0.0022295,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.016167,           0.0040967,                   0,             0.97652,             0.96113,             0.98351,             0.81073,            0.015711,           0.0022134,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.01616,           0.0039693,                   0,             0.97586,             0.95979,             0.98466,             0.80935,            0.015339,           0.0021786,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.01614,           0.0038978,                   0,             0.98509,             0.95442,             0.98589,             0.81333,             0.01536,           0.0021473,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.016191,           0.0038904,                   0,             0.98191,             0.94504,             0.98361,             0.80418,             0.01554,           0.0022048,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.015661,           0.0039079,                   0,             0.97886,             0.95442,             0.98145,             0.80452,            0.015495,           0.0022026,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.015598,           0.0038065,                   0,             0.98231,             0.96792,             0.98586,             0.80976,            0.015462,           0.0021572,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.01564,           0.0036756,                   0,             0.98347,             0.95576,             0.98466,             0.80519,            0.015535,           0.0022128,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.015172,           0.0038178,                   0,             0.96907,             0.96601,             0.98658,             0.81031,            0.015236,           0.0021731,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.015425,           0.0037525,                   0,             0.98172,             0.95576,             0.98192,             0.80665,             0.01562,           0.0022041,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.015142,           0.0037563,                   0,             0.97597,             0.95576,             0.98617,             0.80648,             0.01522,           0.0021752,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.01519,           0.0037903,                   0,             0.97546,             0.95979,             0.98541,             0.80317,            0.015625,           0.0022118,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.015031,           0.0036688,                   0,             0.97951,             0.96112,             0.98674,             0.81294,            0.015239,           0.0021406,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.015227,           0.0036863,                   0,             0.98085,             0.96105,             0.98588,             0.81343,             0.01521,           0.0021711,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.01456,           0.0036368,                   0,             0.97568,             0.96809,             0.98382,             0.81207,            0.015264,           0.0021779,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.014691,           0.0036248,                   0,             0.96409,             0.97175,             0.98547,             0.81933,            0.015019,           0.0021509,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.01444,           0.0036567,                   0,              0.9665,             0.96691,              0.9814,             0.81338,            0.014924,           0.0021677,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.01398,           0.0036574,                   0,             0.96653,             0.96785,              0.9852,             0.81606,            0.015121,           0.0021613,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.014566,            0.003546,                   0,             0.96377,             0.96917,             0.98544,             0.81743,            0.014955,           0.0021741,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.014348,           0.0035675,                   0,              0.9772,             0.96247,             0.98447,             0.81087,            0.015184,           0.0021754,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.014286,           0.0034575,                   0,             0.97658,             0.96515,             0.98272,             0.81435,            0.015202,           0.0022139,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.013883,           0.0036065,                   0,             0.97134,             0.97051,             0.98506,              0.8191,            0.015012,           0.0021834,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.014143,           0.0035509,                   0,             0.97516,             0.96247,             0.98585,             0.80951,             0.01503,           0.0021678,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.01366,           0.0034514,                   0,             0.98013,             0.96113,              0.9863,             0.81476,            0.014812,           0.0021939,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.013486,           0.0034263,                   0,             0.97694,             0.96541,             0.98576,             0.81667,            0.014938,           0.0021676,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.013482,           0.0035082,                   0,             0.97577,             0.97165,             0.98663,             0.81707,            0.014758,           0.0021649,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.013332,           0.0035048,                   0,             0.97831,              0.9676,             0.98641,             0.81958,            0.014911,           0.0021564,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.013485,           0.0034662,                   0,             0.97906,             0.96113,             0.98623,              0.8208,            0.014964,           0.0021744,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.013237,           0.0034569,                   0,             0.98219,             0.96091,             0.98549,             0.82306,            0.014821,           0.0021607,                   0,            0.001882,            0.001882,            0.001882
